runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100001,c_4299_b_4263_d_31,11305,1,1,t_179962_b_4263_tn_1,759499,t_179963_b_4263_tn_3,759499
100002,c_4299_b_4263_d_31,1356,2,1,t_197712_b_4263_tn_0,760026,t_179862_b_4263_tn_0,759499
100003,c_4299_b_4263_d_31,1358,3,1,t_179890_b_4263_tn_0,759499,t_179872_b_4263_tn_0,759499
100004,c_4299_b_4263_d_31,1363,4,1,t_179869_b_4263_tn_0,759499,t_179884_b_4263_tn_0,759499
100005,c_4299_b_4263_d_31,1369,5,1,t_179877_b_4263_tn_0,759499,t_179885_b_4263_tn_0,759499
100006,c_4299_b_4263_d_31,1372,6,1,t_179966_b_4263_tn_1,759741,t_179966_b_4263_tn_17,759499
100007,c_4299_b_4263_d_31,1376,7,1,t_179930_b_4263_tn_1,759499,t_179925_b_4263_tn_2,759499
100008,c_4299_b_4263_d_31,1378,8,1,t_179891_b_4263_tn_0,759499,t_179883_b_4263_tn_0,759499
100009,c_4299_b_4263_d_31,1386,9,1,t_179879_b_4263_tn_0,759499,t_179880_b_4263_tn_0,759499
100010,c_4299_b_4263_d_31,1388,10,1,t_179873_b_4263_tn_0,759499,t_179958_b_4263_tn_0,759499
100011,c_4299_b_4263_d_31,1390,11,1,t_179874_b_4263_tn_0,759499,t_179858_b_4263_tn_0,759499
100012,c_4299_b_4263_d_31,1395,12,1,t_179946_b_4263_tn_1,759499,t_179945_b_4263_tn_11,759499
100013,c_4299_b_4263_d_31,1402,13,1,t_179892_b_4263_tn_1,759499,t_179894_b_4263_tn_4,759499
100014,c_4299_b_4263_d_31,2296,14,1,t_179865_b_4263_tn_0,759499,t_179861_b_4263_tn_0,759499
100015,c_4299_b_4263_d_31,5825,15,1,t_208848_b_4263_tn_0,759923,t_179860_b_4263_tn_0,759933
100016,c_4299_b_4263_d_32,1372,16,1,t_309453_b_4263_tn_1,759741,t_309453_b_4263_tn_16,759499
100017,c_4299_b_4263_d_32,1388,17,1,t_179981_b_4263_tn_1,759499,t_179982_b_4263_tn_4,759499
100018,c_4299_b_4263_d_32,1395,18,1,t_179921_b_4263_tn_1,759499,t_179924_b_4263_tn_11,759499
100019,c_4299_b_4263_d_32,5825,19,1,t_179866_b_4263_tn_0,759923,t_179986_b_4263_tn_3,759499
100020,c_4299_b_4263_d_48,1362,20,1,t_179943_b_4263_tn_1,759499,t_179934_b_4263_tn_4,759499
100021,c_4299_b_4263_d_63,1356,21,1,t_179903_b_4263_tn_1,759499,t_179903_b_4263_tn_14,759499
100022,c_4299_b_4263_d_63,1358,22,1,t_179898_b_4263_tn_1,759499,t_179932_b_4263_tn_14,759499
100023,c_4299_b_4263_d_63,1363,23,1,t_179919_b_4263_tn_1,759499,t_179953_b_4263_tn_11,759499
100024,c_4299_b_4263_d_63,1365,24,1,t_179905_b_4263_tn_1,759499,t_179915_b_4263_tn_13,759499
100025,c_4299_b_4263_d_63,1366,25,1,t_179906_b_4263_tn_1,759499,t_179916_b_4263_tn_8,759499
100026,c_4299_b_4263_d_63,1369,26,1,t_179920_b_4263_tn_1,759499,t_179908_b_4263_tn_13,759499
100027,c_4299_b_4263_d_63,1376,27,1,t_179931_b_4263_tn_1,759499,t_179926_b_4263_tn_11,759499
100028,c_4299_b_4263_d_63,1378,28,1,t_179912_b_4263_tn_1,759499,t_179896_b_4263_tn_10,759499
100029,c_4299_b_4263_d_63,1386,29,1,t_179948_b_4263_tn_1,759499,t_179950_b_4263_tn_14,759499
100030,c_4299_b_4263_d_63,1388,30,1,t_179936_b_4263_tn_1,759499,t_179922_b_4263_tn_14,759499
100031,c_4299_b_4263_d_63,1390,31,1,t_179917_b_4263_tn_1,759499,t_179904_b_4263_tn_13,759499
100032,c_4299_b_4263_d_63,1391,32,1,t_179987_b_4263_tn_1,759499,t_198952_b_4263_tn_0,759499
100033,c_4299_b_4263_d_63,1402,33,1,t_179979_b_4263_tn_1,759499,t_179980_b_4263_tn_5,759499
100034,c_4299_b_4263_d_63,2296,34,1,t_179910_b_4263_tn_1,759499,t_179927_b_4263_tn_16,759499
100035,c_4299_b_4263_d_63,2298,35,1,t_179940_b_4263_tn_1,759499,t_179955_b_4263_tn_15,759499
100036,c_4299_b_4263_d_63,5825,36,1,t_179957_b_4263_tn_1,759933,t_179957_b_4263_tn_14,759499
100037,c_4299_b_4263_d_64,12187,37,1,t_197794_b_4263_tn_0,759499,t_197799_b_4263_tn_0,759499
100038,c_4299_b_4263_d_64,12188,38,1,t_197721_b_4263_tn_1,759499,t_197721_b_4263_tn_10,759499
100039,c_4299_b_4263_d_64,12189,39,1,t_188717_b_4263_tn_1,759499,t_188718_b_4263_tn_10,759499
100040,c_4299_b_4263_d_64,12190,40,1,t_197800_b_4263_tn_1,759499,t_197801_b_4263_tn_10,759499
100041,c_4299_b_4263_d_64,12191,41,1,t_197722_b_4263_tn_1,759499,t_197723_b_4263_tn_10,759499
100042,c_4299_b_4263_d_64,12193,42,1,t_197725_b_4263_tn_1,759499,t_197726_b_4263_tn_10,759499
100043,c_4299_b_4263_d_64,12194,43,1,t_197728_b_4263_tn_1,759499,t_197729_b_4263_tn_7,759499
100044,c_4299_b_4263_d_64,12195,44,1,t_197730_b_4263_tn_1,759499,t_197731_b_4263_tn_10,759499
100045,c_4299_b_4263_d_64,12196,45,1,t_197802_b_4263_tn_1,759499,t_197803_b_4263_tn_10,759499
100046,c_4299_b_4263_d_64,1361,46,1,t_179942_b_4263_tn_1,759499,t_179933_b_4263_tn_10,759499
100047,c_4299_b_4263_d_64,1371,47,1,t_179951_b_4263_tn_1,759499,t_179909_b_4263_tn_10,759499
100048,c_4299_b_4263_d_64,1380,48,1,t_179882_b_4263_tn_0,2319894,t_179871_b_4263_tn_0,2319894
100049,c_4299_b_4263_d_64,1385,49,1,t_179938_b_4263_tn_1,759499,t_179949_b_4263_tn_10,759499
100050,c_4299_b_4263_d_64,1405,50,1,t_179914_b_4263_tn_1,759499,t_179928_b_4263_tn_10,759499
100051,c_4299_b_4263_d_64,2295,51,1,t_179937_b_4263_tn_1,759499,t_179902_b_4263_tn_10,759499
100052,c_4299_b_4263_d_64,2297,52,1,t_179954_b_4263_tn_1,759499,t_179929_b_4263_tn_10,759499
100053,c_4299_b_none_d_64,12187,53,1,t_197794_b_none_tn_0,759499,t_197799_b_none_tn_0,759499
100054,c_4299_b_none_d_64,12188,54,1,t_197721_b_none_tn_1,759499,t_197721_b_none_tn_10,759499
100055,c_4299_b_none_d_64,12189,55,1,t_188717_b_none_tn_1,759499,t_188718_b_none_tn_10,759499
100056,c_4299_b_none_d_64,12190,56,1,t_197800_b_none_tn_1,759499,t_197801_b_none_tn_10,759499
100057,c_4299_b_none_d_64,12191,57,1,t_197722_b_none_tn_1,759499,t_197723_b_none_tn_10,759499
100058,c_4299_b_none_d_64,12193,58,1,t_197725_b_none_tn_1,759499,t_197726_b_none_tn_10,759499
100059,c_4299_b_none_d_64,12194,59,1,t_197728_b_none_tn_1,759499,t_197729_b_none_tn_7,759499
100060,c_4299_b_none_d_64,12195,60,1,t_197730_b_none_tn_1,759499,t_197731_b_none_tn_10,759499
100061,c_4299_b_none_d_64,12196,61,1,t_197802_b_none_tn_1,759499,t_197803_b_none_tn_10,759499
100062,c_4299_b_none_d_64,1361,62,1,t_179942_b_none_tn_1,759499,t_179933_b_none_tn_10,759499
100063,c_4299_b_none_d_64,1371,63,1,t_179951_b_none_tn_1,759499,t_179909_b_none_tn_10,759499
100064,c_4299_b_none_d_64,1380,64,1,t_179882_b_none_tn_0,2319894,t_179871_b_none_tn_0,2319894
100065,c_4299_b_none_d_64,1385,65,1,t_179938_b_none_tn_1,759499,t_179949_b_none_tn_10,759499
100066,c_4299_b_none_d_64,1405,66,1,t_179914_b_none_tn_1,759499,t_179928_b_none_tn_10,759499
100067,c_4299_b_none_d_64,2295,67,1,t_179937_b_none_tn_1,759499,t_179902_b_none_tn_10,759499
100068,c_4299_b_none_d_64,2297,68,1,t_179954_b_none_tn_1,759499,t_179929_b_none_tn_10,759499
