trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_179858_b_4263_tn_0,06:45:00,06:45:00,760020,1,,0,0,0,1,,,,,1,1,,,,
t_179858_b_4263_tn_0,,,760021,2,,0,0,814.224779368639,0,,,,,1,1,,,,
t_179858_b_4263_tn_0,,,760022,3,,0,0,1550.38933702881,0,,,,,1,1,,,,
t_179858_b_4263_tn_0,06:48:00,06:48:00,760023,4,,0,0,2150.03275602251,1,,,,,1,1,,,,
t_179858_b_4263_tn_0,06:49:00,06:49:00,760024,5,,0,0,2792.95643235804,1,,,,,1,1,,,,
t_179858_b_4263_tn_0,,,760025,6,,0,0,3429.25389844126,0,,,,,1,1,,,,
t_179858_b_4263_tn_0,06:50:00,06:50:00,760009,7,,0,0,3817.58908983696,1,,,,,1,1,,,,
t_179858_b_4263_tn_0,06:51:00,06:51:00,760010,8,,0,0,4265.5762247119,1,,,,,1,1,,,,
t_179858_b_4263_tn_0,06:52:00,06:52:00,760011,9,,0,0,4751.50743674637,1,,,,,1,1,,,,
t_179858_b_4263_tn_0,,,760012,10,,0,0,5542.42659348728,0,,,,,1,1,,,,
t_179858_b_4263_tn_0,,,760013,11,,0,0,5716.81143807913,0,,,,,1,1,,,,
t_179858_b_4263_tn_0,06:56:00,06:56:00,759581,12,,0,0,7126.24620612668,1,,,,,1,1,,,,
t_179858_b_4263_tn_0,,,759582,13,,0,0,7410.72181343055,0,,,,,1,1,,,,
t_179858_b_4263_tn_0,,,759583,14,,0,0,7615.89227444,0,,,,,1,1,,,,
t_179858_b_4263_tn_0,07:02:00,07:02:00,759499,15,,0,0,7850.24131478,1,,,,,1,1,,,,
t_179860_b_4263_tn_0,06:00:00,06:00:00,759499,1,,0,0,0,1,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759764,2,,0,0,246.325567437983,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759902,3,,0,0,632.764521658456,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,06:02:00,06:02:00,759903,4,,0,0,922.089009985975,1,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759904,5,,0,0,1142.8979247939,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,06:03:00,06:03:00,759905,6,,0,0,1544.30529185922,1,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759906,7,,0,0,1929.06357164632,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759907,8,,0,0,2316.77996157437,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,06:04:00,06:04:00,759908,9,,0,0,2596.65657567343,1,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759909,10,,0,0,3010.79654647487,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,06:06:00,06:06:00,759910,11,,0,0,3450.72728806191,1,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759911,12,,0,0,3580.34917104745,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759912,13,,0,0,3862.42726226165,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759913,14,,0,0,4252.07389945221,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,06:09:00,06:09:00,759914,15,,0,0,4573.75067997922,1,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759915,16,,0,0,5058.46960463412,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759916,17,,0,0,5718.78336701675,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,06:11:00,06:11:00,759917,18,,0,0,6014.1472120771,1,,,,,1,1,,,,
t_179860_b_4263_tn_0,06:13:00,06:13:00,759918,19,,0,0,6244.39358455403,1,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759919,20,,0,0,6611.08012850416,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759920,21,,0,0,7120.14228348293,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759921,22,,0,0,7362.56209229088,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,06:16:00,06:16:00,759922,23,,0,0,7706.37060668891,1,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759923,24,,0,0,7899.79467235821,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759924,25,,0,0,8119.88827567096,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759925,26,,0,0,8953.60263417677,0,,,,,1,1,,,,
t_179860_b_4263_tn_0,06:18:00,06:18:00,759926,27,,0,0,9173.20595589575,1,,,,,1,1,,,,
t_179860_b_4263_tn_0,,,759927,28,,0,0,9481.88374856292,0,,,,,1,1,,,,
